dbms,index_mode,index_label,query_id,query_name,median_ms,mean_ms,min_ms,max_ms,std_ms,p95,p99,baseline_median_ms,relative_effect
postgres,idx_status_created_at_only,Only composite index on status + created_at,Q5,Sort by created_at DESC with LIMIT,187.215,187.376146,166.76,247.561,6.215068197806635,195.08745,210.00725,190.7685,1.0189808508933578
postgres,idx_status_only,Only status index,Q5,Sort by created_at DESC with LIMIT,187.064,186.985124,168.275,226.03,5.817018362981096,195.08225,206.126,190.7685,1.0198033827994697
postgres,idx_student_id_only,Only student_id index,Q5,Sort by created_at DESC with LIMIT,194.3845,195.085374,171.78,241.848,10.44796709875276,213.73315,228.12385,190.7685,0.9813976937461577
postgres,all_indexes,All benchmark indexes,Q6,Aggregation by course_id for graded activities,124.926,125.417584,105.606,158.043,5.782526489480658,135.0137,144.39856999999998,141.0875,1.1293685862030323
postgres,idx_course_score_only,Only composite index on course_id + score,Q6,Aggregation by course_id for graded activities,139.3665,138.504717,115.887,199.067,7.664235973792373,147.77845,162.17971,141.0875,1.012348735169499
postgres,idx_created_at_only,Only created_at index,Q6,Aggregation by course_id for graded activities,139.7045,138.740655,116.493,191.831,7.319880708013931,147.6927,163.17661999999999,141.0875,1.0098994663736673
postgres,idx_status_created_at_only,Only composite index on status + created_at,Q6,Aggregation by course_id for graded activities,124.9345,125.460795,108.079,181.469,6.423588311354395,136.595,145.32274,141.0875,1.1292917488764114
postgres,idx_status_only,Only status index,Q6,Aggregation by course_id for graded activities,124.729,124.327308,102.897,157.7,5.995960389973743,131.6373,144.14136000000002,141.0875,1.131152338269368
postgres,idx_student_id_only,Only student_id index,Q6,Aggregation by course_id for graded activities,141.952,143.937337,120.747,212.977,10.45152124093333,162.42155,179.61697,141.0875,0.9939099132100992
postgres,all_indexes,All benchmark indexes,Q7,Broad score range where indexes are expected to help little,77.922,77.91511100000001,61.595,94.084,4.072867386427708,83.20699999999998,91.42201,123.702,1.5875105875105875
postgres,idx_course_score_only,Only composite index on course_id + score,Q7,Broad score range where indexes are expected to help little,78.14099999999999,78.648695,61.535,117.719,5.8165103855353,89.91185,95.66423999999999,123.702,1.5830613890275274
postgres,idx_created_at_only,Only created_at index,Q7,Broad score range where indexes are expected to help little,110.54,113.169788,97.552,145.99,7.021488867111235,124.7514,128.62919999999997,123.702,1.1190700199022978
postgres,idx_status_created_at_only,Only composite index on status + created_at,Q7,Broad score range where indexes are expected to help little,110.7675,113.62911100000001,97.428,158.571,7.3867556302764275,125.05420000000001,130.87091,123.702,1.1167716162231702
postgres,idx_status_only,Only status index,Q7,Broad score range where indexes are expected to help little,117.1175,116.118808,96.669,149.693,8.043230266021745,126.20564999999999,131.36833,123.702,1.056221316199543
postgres,idx_student_id_only,Only student_id index,Q7,Broad score range where indexes are expected to help little,124.067,123.25568700000001,99.901,158.192,7.097947697366161,132.8699,142.33511999999996,123.702,0.9970580412196636
